Date,Weight
2025-03-09,98.1
2025-03-10,98.05
2025-03-11,97.25
2025-03-12,97.45
2025-03-13,97.45
2025-03-14,97.1
2025-03-15,97.1
2025-03-16,97.4
2025-03-17,96.8
2025-03-18,97.04999999999998
2025-03-19,96.8
2025-03-20,97.09999999999998
2025-03-21,96.75
2025-03-22,96.9
2025-03-23,97.24999999999997
